,facility_id,facility_name,facility_type,capacity_type,capacity_count,region,license_issue_date,inspection_date,gps_location,remarks
3895,02994,"Ward, Thompson and Richmond 🏥",polyclinic,bed,331,St. Peter,2023-02-11 00:00:00,2021-09-18 00:00:00,13°13′43″N 59°8′22″W,unknown
3897,HF-2996,Wells-Thompson Polyclinic✨,hospital,unknown,unknown,St. Lucy,2024-01-20 00:00:00,2018-08-20 00:00:00,"-58.89961, 13.29338",none
3900,1ed00d,Richardson Ltd Medical Center,polyclinic,bed,293,St. Andrew,2024-07-19 00:00:00,2022-10-03 00:00:00,"12.95654, -59.16685",Needs upgrade
3901,HF-3000,Perez-Jones Hosp. (CHRIST),hospital,bed,26,Christ Church,2024-10-15 00:00:00,2020-05-05 00:00:00,POINT(-59.23415 13.26465), 
3903,HF-3001,Fitzgerald-Molina Health Centre,unknown,bed,212,St. James,2019-03-29 00:00:00,2022-11-15 00:00:00,POINT(-58.87486 13.09436),Follow-up 2023
3904,f55df2,Collins-Group Polyclinic,polyclinic,bed,420,Christ Church,2018-07-27 00:00:00,2024-03-05 00:00:00,-58.76743;12.72217,Reinspection due
3906,cca23b,Green-Arnold (ST.),community health centre,bed,10,St. James,2019-04-30 00:00:00,2022-12-23 00:00:00,"-59.28745, 12.89021", 
3907,03005,Edwards-Velazquez,polyclinic,unknown,unknown,St. Jospeh,2022-06-11 00:00:00,2019-03-07 00:00:00,"-59.00619, 12.96286",Reinspection due
3908,03006,Kramer LLC 🏥 (ST.),polyclinic,unknown,unknown,St. George,2016-02-17 00:00:00,2021-01-06 00:00:00,"-58.81344, 12.87874",Good
3909,HF-3007,Young-Hayes Health Centre (St.),polyclinic,bed,425,St. Andrew,2023-08-10 00:00:00,2025-01-10 00:00:00,POINT(-58.89726 13.12131),Follow-up 2023
3911,#3009,Jones-Vang Hosp.©,hospital,cot,174,St. James,2017-11-18 00:00:00,2018-10-30 00:00:00,"12.78184, -58.96843",unknown
3912,03010,Jenkins Inc 🏥,unknown,bed,198,Christ Church,2020-07-10 00:00:00,2019-09-26 00:00:00,POINT(-59.00021 13.08433),Follow-up 2023
3913,3011,Herman-Young (egroeG),community health centre,bed,114,St. George,2017-08-06 00:00:00,2018-07-26 00:00:00,POINT(-59.09039 12.92763),Follow-up 2023
3914,#3012,Fox LLC Clinic,community health centre,unknown,unknown,St. Peter,2020-06-21 00:00:00,2023-11-08 00:00:00,-58.88055;12.77595,Follow-up 2023
3916,3014,Grant-Sullivan Health Centre (St.Andrew)©,unknown,unknown,unknown,St. Andrew,2019-12-22 00:00:00,2024-02-08 00:00:00,"12.89684, -58.80054",none
3917,a40792,Fleming-LLC Hosp. (reteP)💊,community health centre,unknown,116,St. Peter,2019-04-02 00:00:00,2025-10-28 00:00:00,POINT(-58.97779 13.06798),Loved it
3918,HF-3016,"Jones, Watson and Gonzalez Infirmary",clinic,bed,355,St. Michael,2018-06-25 00:00:00,2024-11-16 00:00:00,unknown,Follow-up 2023
3920,#3017,Floyd-Smith 🏥,polyclinic,unknown,unknown,St. Peter,2020-07-04 00:00:00,2024-02-13 00:00:00,"-59.16850, 13.09364",Loved it
3922,HF-3018,"Wright, Rivera and Cardenas Clinic",unknown,unknown,unknown,St. Jospeh,2021-09-24 00:00:00,2022-03-21 00:00:00,13°9′45″N 58°51′53″W,Follow-up 2023
3924,HF-3019,Duffy Ltd Infirmary (St.),community health centre,unknown,unknown,St. Lucy,2022-08-21 00:00:00,2025-08-23 00:00:00,"-59.13459, 13.15931",Reinspection due
3926,a71f2c,Moss-Cobb Polyclinic (St.),community health centre,cot,406,St. Peter,2023-08-29 00:00:00,2019-05-07 00:00:00,"13.01586, -59.22679",none
3927,3021,Boyer-Adams Health Centre✨,clinic,unknown,unknown,St. Andrew,2022-07-26 00:00:00,2022-12-01 00:00:00,"-58.82876, 12.77015",none
3929,e6da85,Brown-Ramirez 🏥,unknown,unknown,474,St. Andrew,2018-05-12 00:00:00,2020-10-05 00:00:00,POINT(-58.82744 12.81384),Needs upgrade
3930,03024,Hayes-Henderson✨,community health centre,cot,57,St. Lucy,2019-07-07 00:00:00,2025-03-06 00:00:00,unknown,none
3935,71e62a,Kane-and-Sons (St.),clinic,bed,10,St. Michael,2023-01-03 00:00:00,2025-08-15 00:00:00,POINT(-58.85512 13.23959),Loved it
3936,03029,Davis LLC Hosp.,community health centre,unknown,unknown,St. Joseph,2019-09-08 00:00:00,2018-01-30 00:00:00,-59.25011;13.17463,Good
3940,HF-3033,Roberts-Bryant (St.),unknown,bed,387,St. Andrew,2021-12-05 00:00:00,2019-12-03 00:00:00,unknown,Needs upgrade
3941,HF-3034,Obrien-Armstrong Clinic,unknown,unknown,477,St. Peter,2018-04-14 00:00:00,2025-07-16 00:00:00,-58.97269;12.87024,unknown
3942,HF-3035,Cole-LLC Infirmary (st.),hospital,unknown,218,St. George,2019-11-08 00:00:00,2021-05-21 00:00:00,12°58′14″N 58°44′26″W,Follow-up 2023
3943,6cecd8,"Wright,-Hernandez-and-Conner Clinic (St.)",community health centre,bed,64,St. John,2025-05-24 00:00:00,2020-03-08 00:00:00,12°50′41″N 58°44′47″W,unknown
3944,HF-3037,"Anthony, Castillo and James Infirmary (St)",unknown,unknown,unknown,St. Jospeh,2025-02-21 00:00:00,2025-11-10 00:00:00,unknown,Follow-up 2023
3946,HF-3038,Carpenter Ltd Hospital (ChristChurch),community health centre,bed,463,Christ Church,2023-07-02 00:00:00,2023-09-07 00:00:00,"12.81909, -59.01991",Good
3948,03040,Fuentes-Lee✨,polyclinic,bed,308,St. James,2018-01-07 00:00:00,2022-07-24 00:00:00,POINT(-58.80349 13.03784),Needs upgrade
3950,HF-3042,Stein Ltd Infirmary,clinic,bed,291,St. Michael,2024-03-16 00:00:00,2019-05-15 00:00:00,"12.94160, -59.24841",Good
3951,#3043,Trujillo-Combs Infirmary (St.),clinic,unknown,unknown,St. George,2024-08-20 00:00:00,2024-05-22 00:00:00,"-59.03221, 12.98926",none
3952,b255c8,Mcguire-Moore Hospital (St.Michael),clinic,unknown,151,St. Michael,2016-05-21 00:00:00,2019-08-11 00:00:00,"12.90165, -59.14032",Reinspection due
3953,03045,Frey-LLC Infirmary,polyclinic,unknown,114,St. James,2024-05-08 00:00:00,2019-05-19 00:00:00,13°7′23″N 58°45′19″W,none
3954,HF-3046,Garcia-Inc Clinic (nhoJ),community health centre,unknown,unknown,St. John,2025-08-11 00:00:00,2024-05-31 00:00:00,POINT(-58.90728 12.87669),unknown
3955,#3047,Miller LLC 🏥 (St.),unknown,unknown,unknown,St. Lucy,2022-06-04 00:00:00,2022-04-11 00:00:00,"13.08971, -58.96809",Follow-up 2023
3956,28ddff,Bauer and Sons Polyclinic,clinic,bed,10,St. Lucy,2018-10-31 00:00:00,2024-03-03 00:00:00,"-58.76762, 13.13174",Needs upgrade
3957,03049,Fernandez PLC,community health centre,unknown,270,St. Peter,2025-09-12 00:00:00,2020-09-12 00:00:00,12°43′21″N 59°1′26″W, 
3960,3051,Davis-Anderson Polyclinic,community health centre,bed,303,Christ Church,2019-08-27 00:00:00,2023-10-27 00:00:00,-59.12454;13.28725,Good
3962,HF-3052,"Kim, Brown and Underwood (St.)",hospital,unknown,unknown,St. Michael,2018-09-18 00:00:00,2020-01-17 00:00:00,13°7′19″N 59°5′55″W,Needs upgrade
3964,c7229f,Hernandez-Farmer Hospital (ST.),community health centre,bed,9,St. Michael,2022-09-21 00:00:00,2020-03-31 00:00:00,unknown,Needs upgrade
3965,#3054,Brown-Peck Infirmary,unknown,bed,10,St. Lucy,2016-01-22 00:00:00,2018-07-01 00:00:00,POINT(-58.87592 12.96897), 
3969,16a2c3,"Reynolds, Hanson and Hernandez Health Centre (ST.)💊",polyclinic,bed,10,St. John,2020-03-07 00:00:00,2025-11-28 00:00:00,POINT(-59.20441 13.15031),Needs upgrade
3973,769253,"Johnson, Reyes and Stewart 🏥",hospital,unknown,unknown,St. Lucy,2019-01-29 00:00:00,2024-03-12 00:00:00,"13.26323, -58.82865",none
3975,b3330d,Smith-Arnold,hospital,cot,86,St. John,2019-10-04 00:00:00,2019-07-24 00:00:00,POINT(-59.20453 12.79616),none
3976,3061,Allen PLC,community health centre,unknown,119,Christ Church,2021-11-05 00:00:00,2025-06-19 00:00:00,13°0′19″N 59°14′34″W,Loved it
3978,03062,Morton-Humphrey Hospital,community health centre,cot,491,St. George,2018-10-29 00:00:00,2020-12-09 00:00:00,13°15′30″N 58°56′0″W,unknown
3980,0135a8,Mitchell Group Polyclinic,community health centre,unknown,unknown,St. John,2017-05-01 00:00:00,2019-11-06 00:00:00,unknown,Follow-up 2023
3984,03067,"Griffin, Hale and Cruz Health Centre (St.Peter)",clinic,unknown,9,St. Peter,2025-06-26 00:00:00,2025-05-18 00:00:00,"13.08548, -58.84504",Follow-up 2023
3985,4c0d2d,"Fuentes, Adams and Parrish Infirmary (St.)",clinic,bed,19,St. Jospeh,2017-09-26 00:00:00,2022-12-25 00:00:00,-59.23637;13.25197,unknown
3986,#3069,Gill-Morse Clinic (st.),hospital,bed,270,St. Peter,2016-12-29 00:00:00,2022-01-22 00:00:00,unknown,Follow-up 2023
3988,705e75,Johnson Ltd Infirmary,polyclinic,bed,60,Christ Church,2017-08-08 00:00:00,2023-01-03 00:00:00,"13.20073, -59.25953",Reinspection due
3991,#3073,Drake and Sons Hospital,unknown,unknown,unknown,St. Jospeh,2018-06-13 00:00:00,2021-10-08 00:00:00,12°58′54″N 59°14′37″W,none
3992,3073,Drake and Sons Hosp.,unknown,unknown,unknown,St. Jospeh,2018-06-13 00:00:00,2021-10-08 00:00:00,12°58′54″N 59°14′37″W,none
3994,HF-3075,"Thompson, Williams and Miller Medical Center (semaJ)",clinic,unknown,352,St. James,2023-06-25 00:00:00,2018-12-04 00:00:00,unknown,Reinspection due
3996,HF-3077,"Keith, Lewis and Swanson Medical Center",polyclinic,unknown,unknown,St. James,2021-01-03 00:00:00,2024-09-17 00:00:00,"-59.11447, 13.23421",unknown
3997,HF-3078,"Huber, Johnston and Mcconnell Medical Center",polyclinic,unknown,392,St. Peter,2022-08-04 00:00:00,2022-10-27 00:00:00,"-58.85356, 12.75151",none
3998,fac2c3,"Ortiz, Garrison and Warren Health Centre (St.)",polyclinic,unknown,unknown,St. Michael,2018-04-19 00:00:00,2019-03-27 00:00:00,unknown,Loved it
4001,03081,Chase-Nguyen,unknown,bed,99,St. Jospeh,2017-04-26 00:00:00,2022-05-22 00:00:00,POINT(-59.28549 12.85623),none
4003,HF-3083,Tran and Sons Hospital (nhoJ),polyclinic,unknown,unknown,St. John,2023-10-03 00:00:00,2019-04-23 00:00:00,-58.97952;13.00698, 
4006,#3085,Harrington and Sons Hospital (reteP),hospital,bed,10,St. Peter,2022-03-12 00:00:00,2021-01-24 00:00:00,"13.18051, -59.15547",unknown
4007,3086,"Butler,-Dillon-and-Mcdaniel Infirmary (st.)",clinic,bed,10,St. Lucy,2025-05-19 00:00:00,2023-01-17 00:00:00,"-58.80368, 13.06037",Good
4008,03087,Mejia-Stewart,unknown,bed,366,St. John,2020-01-10 00:00:00,2024-05-06 00:00:00,unknown,none
4010,a82d17,Jackson-Mahoney Clinic (CHRIST),clinic,unknown,360,Christ Church,2022-08-24 00:00:00,2020-06-12 00:00:00,POINT(-58.93097 12.92039),Needs upgrade
4012,03089,"Long, Johnson and Day (St)💊",community health centre,bed,92,St. Andrew,2022-01-07 00:00:00,2023-02-11 00:00:00,POINT(-58.75852 12.89418),Reinspection due
4013,03090,Pacheco-Campbell Clinic,unknown,unknown,unknown,St. Peter,2017-08-07 00:00:00,2024-12-21 00:00:00,-58.84158;12.74942,Loved it
4015,03091,Stevens Ltd Infirmary,community health centre,unknown,unknown,St. George,2022-03-28 00:00:00,2019-03-11 00:00:00,-58.85673;12.86674,Reinspection due
4016,HF-3092,"Miles,-Rogers-and-Roberts Medical Center (ST.)",community health centre,unknown,199,St. Andrew,2021-01-15 00:00:00,2025-04-21 00:00:00,POINT(-59.08604 13.20350),Reinspection due
4017,3093,"Perez, Mclean and Campbell 🏥",clinic,unknown,326,Christ Church,2017-04-13 00:00:00,2023-03-03 00:00:00,12°50′8″N 59°12′5″W,unknown
4018,#3094,Schmidt-Macias Polyclinic,hospital,unknown,unknown,St. James,2018-08-28 00:00:00,2024-01-23 00:00:00,-59.09117;12.72863,Needs upgrade
4020,HF-3095,Freeman Inc Medical Center,community health centre,bed,123,Christ Church,2020-09-18 00:00:00,2025-05-31 00:00:00,"13.00467, -59.19444", 
4021,03096,Carson Inc Clinic (christ),hospital,unknown,29,Christ Church,2018-01-17 00:00:00,2020-12-27 00:00:00,-58.75142;13.01181,Follow-up 2023
4022,3097,"Green, Forbes and Lynch 🏥 (st.)©",community health centre,unknown,unknown,St. Peter,2020-05-20 00:00:00,2025-06-13 00:00:00,"12.99371, -58.95378",Good
4024,3099,Stephens-Moss Medical Center,hospital,unknown,241,St. Michael,2020-10-05 00:00:00,2018-09-15 00:00:00,12°49′50″N 58°45′33″W,none
4027,03101,"Martin, Jones and Huff Infirmary",community health centre,bed,372,St. Joseph,2023-12-12 00:00:00,2025-01-10 00:00:00,"12.89247, -59.01767",Good
4028,3102,"Stanley, Benitez and Kelly Hospital",community health centre,unknown,255,St. Andrew,2020-06-10 00:00:00,2025-07-26 00:00:00,-58.80633;13.01032,Loved it
4029,#3103,Marshall PLC Infirmary,hospital,unknown,unknown,St. James,2020-01-02 00:00:00,2021-05-15 00:00:00,unknown,Loved it
4031,06286d,Wiggins-Morgan Polyclinic,community health centre,unknown,242,St. Andrew,2020-08-04 00:00:00,unknown,-59.21083;12.70265, 
4035,3106,Mora-Henry Hosp. (St.),community health centre,bed,212,St. Andrew,2025-09-17 00:00:00,2021-09-30 00:00:00,-59.05527;13.04014,unknown
4036,03107,Norton-PLC Clinic (St.),community health centre,unknown,321,St. George,2022-05-24 00:00:00,2023-12-14 00:00:00,12°45′39″N 58°55′26″W,Reinspection due
4039,03110,Anderson PLC Polyclinic (St.),polyclinic,unknown,411,St. John,2022-01-31 00:00:00,2021-02-15 00:00:00,-58.87843;12.95522,Reinspection due
4040,#3111,"Johnston, Brown and Gonzales Polyclinic",polyclinic,unknown,unknown,St. John,2018-06-24 00:00:00,2022-11-03 00:00:00,POINT(-58.93382 12.97231), 
4041,3112,David-Lewis Clinic (ST.),unknown,unknown,unknown,St. James,2021-02-25 00:00:00,2023-07-18 00:00:00,-59.18230;13.07446,Good
4042,3113,Neal-Osborne,community health centre,unknown,231,St. Jospeh,2024-02-02 00:00:00,2018-07-29 00:00:00,"-58.99269, 12.81695",unknown
4044,3114,"Parks, Duran and Peters Infirmary (st.)",polyclinic,bed,158,St. Andrew,2016-10-16 00:00:00,2023-03-24 00:00:00,POINT(-58.80716 12.79728), 
4046,#3115,"Arnold, Diaz and Ortiz (St.)",clinic,bed,10,St. Lucy,2020-03-31 00:00:00,2020-06-13 00:00:00,13°8′54″N 59°15′54″W,unknown
4047,HF-3116,"Johnson, Adkins and Walsh",polyclinic,unknown,unknown,Christ Church,2024-04-14 00:00:00,2024-09-01 00:00:00,-58.99628;13.11233,Follow-up 2023
4048,#3117,Nelson-Butler,unknown,cot,206,Christ Church,2025-08-30 00:00:00,2025-05-24 00:00:00,12°50′5″N 58°48′7″W,unknown
4050,fa5eba,"Phillips, Henderson and Miller 🏥",polyclinic,bed,446,St. Lucy,2021-10-01 00:00:00,2025-04-16 00:00:00,POINT(-58.93633 13.21800), 
4053,7d10f8,Odonnell-Ltd,clinic,unknown,unknown,St. Andrew,2017-09-26 00:00:00,2018-12-20 00:00:00,"13.02442, -59.14479",unknown
4055,03123,Huffman Inc (ST.),community health centre,unknown,unknown,St. Andrew,2017-04-01 00:00:00,2024-09-10 00:00:00,unknown,unknown
4057,3124,Jones-Hodges Infirmary,community health centre,unknown,unknown,St. Jospeh,2025-06-03 00:00:00,2021-09-30 00:00:00,12°53′3″N 59°1′14″W,Good
4062,03129,Yates PLC Hosp. (ST.),unknown,bed,10,St. Michael,2022-03-05 00:00:00,2022-06-04 00:00:00,-58.89234;12.75299,Follow-up 2023
4064,3130,"Alexander,-Green-and-Odonnell Medical Center",community health centre,cot,303,St. Michael,2025-12-06 00:00:00,2024-03-06 00:00:00,13°14′48″N 59°1′59″W, 
4066,HF-3131,Green-Cameron💊,clinic,unknown,unknown,St. John,2023-05-25 00:00:00,2024-02-18 00:00:00,"13.02436, -59.02353",none
4070,03135,"Perry-Mclean Medical Center (St.Peter)
NewLine",community health centre,bed,10,St. Peter,2018-06-21 00:00:00,2021-03-24 00:00:00,-58.95679;13.20043,Good
4072,03137,"Oliver, Roth and Jones (St.John)",unknown,unknown,unknown,St. John,2022-12-29 00:00:00,2025-08-25 00:00:00,"13.04791, -58.94892",Reinspection due
4073,03138,"Schultz,-Flores-and-Gutierrez (St)
NewLine",community health centre,cot,182,St. Jospeh,2024-03-04 00:00:00,2018-01-13 00:00:00,13°9′2″N 59°12′52″W,Needs upgrade
4076,3141,Ramos-Bush Clinic (st.),polyclinic,cot,230,St. James,2024-01-08 00:00:00,2022-02-07 00:00:00,"12.94436, -58.94891",unknown
4077,HF-3142,"Sanchez, Garner and Walker Hosp.",clinic,unknown,unknown,St. George,2021-11-07 00:00:00,2025-08-27 00:00:00,12°46′52″N 58°47′59″W,Loved it
4078,0d79e3,"Soto, Munoz and Gonzalez (Christ)",unknown,unknown,unknown,Christ Church,2024-07-03 00:00:00,2022-04-28 00:00:00,"-58.89117, 12.80130",Loved it
4079,03144,Pennington-Kent Hosp. (St.John),clinic,unknown,186,St. John,2017-02-16 00:00:00,2021-12-21 00:00:00,-58.85207;13.19118,Good
4080,#3145,Molina and Sons 🏥,community health centre,unknown,385,St. Peter,2025-12-29 00:00:00,2024-01-05 00:00:00,13°2′7″N 58°44′9″W,Good
4081,03146,"Cunningham, Williams and Boone Health Centre (St.)",clinic,bed,492,St. George,2022-10-08 00:00:00,2024-03-17 00:00:00,"13.25045, -59.13855",Needs upgrade
4083,#3148,Baker-Cameron Clinic,polyclinic,unknown,unknown,St. Michael,2018-12-29 00:00:00,2023-03-13 00:00:00,-59.13226;13.10432, 
4086,#3151,Williamson-Coleman Clinic (st.),unknown,bed,10,St. Andrew,2025-08-02 00:00:00,2023-01-24 00:00:00,12°54′45″N 59°14′40″W,Needs upgrade
4087,HF-3152,"Davis, Perez and Jones Infirmary",polyclinic,unknown,119,St. John,2022-09-16 00:00:00,2025-05-30 00:00:00,POINT(-58.77037 12.98196),Follow-up 2023
4089,16fa30,Thomas-and-Sons,polyclinic,bed,378,St. Lucy,2019-04-06 00:00:00,unknown,13°15′36″N 59°14′23″W, 
4091,0dc0ca,Rojas Ltd Medical Center (St.),polyclinic,bed,10,St. Lucy,2025-09-06 00:00:00,2023-10-24 00:00:00,-59.04212;12.78992,Loved it
4093,04fb94,Torres-Moon,community health centre,bed,336,St. Jospeh,2022-01-19 00:00:00,2022-08-21 00:00:00,"-58.87408, 12.84097",Loved it
4095,3159,Hughes and Sons 🏥 (St.John),community health centre,bed,449,St. John,2018-04-28 00:00:00,2020-09-01 00:00:00,"13.00768, -58.73826",Good
4096,HF-3160,Williams-Johnston (St.),hospital,unknown,315,St. George,2020-11-26 00:00:00,2018-12-04 00:00:00,13°13′15″N 59°8′38″W,Good
4098,3161,Simmons Inc Hospital,community health centre,unknown,141,St. John,unknown,2023-06-23 00:00:00,-59.28262;13.09730,unknown
4100,HF-3162,Hill-Thomas Health Centre,community health centre,unknown,265,St. Jospeh,2017-10-28 00:00:00,2019-05-23 00:00:00,"13.04155, -59.26681",Good
4102,03164,"Delgado, Castillo and Graves Medical Center (semaJ)💊",hospital,unknown,288,St. James,2020-02-16 00:00:00,2018-01-26 00:00:00,-58.81248;12.72554,Loved it
4103,#3165,Peterson-Group Hospital (St.Andrew),clinic,cot,88,St. Andrew,2018-09-05 00:00:00,2022-02-25 00:00:00,-58.75844;12.96910,Follow-up 2023
4105,644a87,Rogers Inc Health Centre (ST.),community health centre,bed,482,St. Michael,2018-10-19 00:00:00,2025-12-21 00:00:00,"12.93516, -59.23782",unknown
4106,b4f526,Smith LLC Hosp.,community health centre,cot,293,St. Andrew,2024-10-10 00:00:00,2020-06-07 00:00:00,unknown,Loved it
4108,HF-3168,Glenn-Whitehead,clinic,bed,491,St. James,2023-03-03 00:00:00,2025-01-19 00:00:00,-58.79158;13.17478,none
4109,5bac30,"Wood,-Lyons-and-Swanson Hospital",community health centre,bed,189,St. James,2023-11-20 00:00:00,2023-08-23 00:00:00,unknown,Needs upgrade
4110,fee95b,Graham-Garcia Polyclinic,polyclinic,unknown,unknown,St. Jospeh,2022-03-09 00:00:00,2023-05-27 00:00:00,-59.25156;13.26753, 
4111,3171,"Boone, Lee and Anderson Hosp. (St)",unknown,unknown,unknown,St. John,2024-09-24 00:00:00,2024-04-03 00:00:00,POINT(-58.82017 13.15391),none
4112,03172,Reyes-Montgomery Hospital (Christ),polyclinic,bed,272,Christ Church,2021-12-07 00:00:00,2024-08-22 00:00:00,"-58.71743, 13.05435",Needs upgrade
4113,e8cae1,Oliver-Ltd Infirmary,community health centre,unknown,unknown,St. Andrew,2025-04-04 00:00:00,2018-11-20 00:00:00,unknown,unknown
4115,#3174,"Garza,-Mclaughlin-and-Washington (werdnA)",hospital,bed,339,St. Andrew,2025-01-15 00:00:00,2023-09-14 00:00:00,-59.23198;13.09325,Good
4116,#3175,"Wu, Torres and Hicks Infirmary",polyclinic,bed,292,St. James,2018-12-23 00:00:00,2018-12-26 00:00:00,"-58.97245, 13.11989",Follow-up 2023
4118,03177,Arellano-Freeman 🏥,hospital,unknown,unknown,St. Michael,2025-08-18 00:00:00,2024-10-30 00:00:00,-58.88712;12.78626,unknown
4119,3178,"Gordon,-Simmons-and-Wolfe Hosp. (leahciM)",hospital,unknown,unknown,St. Michael,2019-06-24 00:00:00,unknown,unknown,unknown
4121,3180,Wilcox-LLC (St.),unknown,unknown,24,St. Andrew,2024-07-29 00:00:00,2019-07-07 00:00:00,unknown,Needs upgrade
4122,03181,"Sparks,-Guzman-and-Moore Clinic (St.)",unknown,cot,150,St. Jospeh,2025-12-28 00:00:00,2024-10-31 00:00:00,13°14′56″N 58°54′27″W,none
4123,HF-3182,"Watson, Jones and Thompson Hospital",hospital,cot,485,St. James,2019-08-06 00:00:00,2022-03-14 00:00:00,unknown, 
4124,091f70,"Matthews-Burnett Medical Center (St.)
NewLine",community health centre,unknown,unknown,St. Michael,2024-12-24 00:00:00,2021-01-16 00:00:00,"12.76212, -59.19023",Follow-up 2023
4125,#3184,"Dominguez-Gonzalez Infirmary (St.)
NewLine",hospital,unknown,276,St. James,2022-01-12 00:00:00,2024-06-20 00:00:00,-59.04389;13.02377,Follow-up 2023
4128,HF-3186,"Morgan, Marshall and Logan Health Centre",community health centre,unknown,383,St. Lucy,2017-04-09 00:00:00,2020-12-09 00:00:00,"12.72478, -58.87010",Reinspection due
4129,#3187,"Jones, Bowers and Padilla",polyclinic,unknown,76,St. George,2020-09-26 00:00:00,2024-06-30 00:00:00,"13.17522, -58.77392",unknown
4130,41161c,Thompson Group,polyclinic,unknown,unknown,St. Jospeh,2019-01-18 00:00:00,2021-07-29 00:00:00,"12.75786, -58.84351", 
4132,03190,Santos-Henderson 🏥 (St.),community health centre,unknown,286,St. James,2023-03-14 00:00:00,2021-08-08 00:00:00,POINT(-58.95172 12.72678),Follow-up 2023
4134,3192,Hull Inc💊,hospital,unknown,51,St. James,2020-01-15 00:00:00,2023-10-19 00:00:00,-58.81244;13.19985,none
4137,03194,Jones-Wilson Hosp.,community health centre,unknown,unknown,St. Michael,2016-03-01 00:00:00,2023-08-31 00:00:00,13°5′21″N 58°57′0″W,Needs upgrade
4139,03195,Lopez LLC (St.),hospital,unknown,unknown,St. Andrew,2019-02-19 00:00:00,2024-07-17 00:00:00,-59.10722;13.15857,Loved it
4141,HF-3196,"Moore,-Sexton-and-Leblanc Health Centre (St)",hospital,cot,363,St. James,2018-06-07 00:00:00,2024-10-07 00:00:00,13°10′20″N 59°5′14″W,Needs upgrade
4144,3198,Ruiz Ltd 🏥 (St.),unknown,unknown,unknown,St. George,2019-07-08 00:00:00,2024-06-24 00:00:00,13°11′56″N 59°13′58″W,Good
4146,#3200,"Evans, Fitzgerald and Weber (St.)",hospital,bed,10,St. Michael,2018-02-08 00:00:00,2025-03-06 00:00:00,"-58.96922, 13.26156",none
4147,03201,"Lozano, Santiago and Davis Clinic",hospital,unknown,unknown,St. John,2022-09-12 00:00:00,2024-03-13 00:00:00,"12.84341, -59.14792",Needs upgrade
4148,3202,Fitzpatrick-Parker (ST.),hospital,unknown,unknown,St. George,2020-07-18 00:00:00,2022-01-10 00:00:00,"-59.27421, 13.06284",unknown
4152,HF-3204,Patel LLC,community health centre,unknown,unknown,St. Lucy,2023-08-08 00:00:00,2018-09-15 00:00:00,"-58.89324, 12.72509",Follow-up 2023
4154,2fe9a1,Garcia-Ramirez Medical Center,clinic,bed,10,St. Peter,2023-02-01 00:00:00,2024-11-22 00:00:00,unknown,none
4157,#3207,"Mcgrath,-Graves-and-Morris Infirmary (christ)",polyclinic,unknown,unknown,Christ Church,2020-06-22 00:00:00,2025-02-10 00:00:00,13°8′18″N 58°59′50″W,none
4159,HF-3208,Vance PLC Polyclinic,clinic,unknown,240,St. James,2021-02-04 00:00:00,2020-07-26 00:00:00,12°52′11″N 58°46′14″W,unknown
4163,HF-3210,Snow LLC Infirmary (ST.),community health centre,bed,10,St. George,2018-04-04 00:00:00,2023-12-06 00:00:00,POINT(-58.79647 12.77733),Reinspection due
4164,HF-3211,"Durham, Quinn and Bennett Infirmary",community health centre,bed,10,St. George,2019-06-10 00:00:00,2020-03-24 00:00:00,12°50′38″N 58°51′12″W,unknown
4166,3212,"Morales, Goodman and Roman Infirmary (St.James)",polyclinic,unknown,186,St. James,2021-05-30 00:00:00,2024-09-01 00:00:00,POINT(-58.76511 13.14421),Needs upgrade
4168,3213,Russell-Bowers Infirmary (ST.),community health centre,unknown,195,St. Michael,2016-10-06 00:00:00,2022-02-05 00:00:00,"13.12266, -58.85182",Reinspection due
4169,HF-3214,Higgins Inc Hospital (St.),hospital,bed,10,St. Peter,2019-10-24 00:00:00,2020-02-13 00:00:00,-58.87222;12.97600,unknown
4170,HF-3215,"Washington, Hill and Atkins Medical Center",community health centre,cot,492,St. James,2022-09-16 00:00:00,2018-12-04 00:00:00,-59.28212;12.79528,none
4172,75174e,Taylor-LLC Medical Center (Christ),unknown,bed,435,Christ Church,2018-10-27 00:00:00,2018-04-08 00:00:00,-58.99001;13.14181,Reinspection due
4173,03217,"Curtis, Reid and Howe",unknown,bed,195,St. Peter,2023-12-30 00:00:00,2024-05-31 00:00:00,"-59.11313, 12.72805",unknown
4174,#3218,Watson LLC Hospital,hospital,bed,109,St. Andrew,2024-06-08 00:00:00,2022-09-22 00:00:00,13°2′7″N 58°51′9″W,none
4175,03219,Leonard and Sons (Christ),unknown,unknown,unknown,Christ Church,2017-01-23 00:00:00,2021-12-18 00:00:00,unknown,unknown
4176,03220,Rios LLC (St.Lucy),unknown,unknown,unknown,St. Lucy,2023-10-17 00:00:00,2021-12-24 00:00:00,"12.70165, -59.10047",Follow-up 2023
4177,3221,King-Craig Hospital✨,hospital,unknown,163,St. Michael,2022-03-19 00:00:00,2021-11-10 00:00:00,"-59.00942, 12.86559",Follow-up 2023
4178,03222,"Hawkins, Neal and Abbott Medical Center (st.)",clinic,unknown,unknown,St. George,2017-02-07 00:00:00,2023-08-13 00:00:00,-59.13347;13.10841,unknown
4179,b9f271,Marshall and Sons Hospital,hospital,bed,179,St. Andrew,2025-03-17 00:00:00,2018-01-29 00:00:00,-58.89517;13.18090,Needs upgrade
