facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
,Carroll-Sims Hosp. (St.)💊,Health Ctr.,176Beds,St. Peter Parish,20220813,June 03 2023,13°2′32″N 59°2′15″W,
#2925,Davis Ltd Polyclinic,Community Health Ctr.,285Beds,ST. JAMES,08/03/24,20230621,"-58.84959, 12.94228",Good
2925,Davis Ltd Polyclinic,Community Health Ctr.,285Beds,ST. JAMES,08/03/24,20230621,"-58.84959, 12.94228",Good
NULL,"Casey,-Hicks-and-Perez",CHC,,reteP .tS,March 16 2019,May 26 2018,POINT(-59.16421 12.87546),
02927,Townsend-Davis,,86 bed,ST. GEORGE,July 27 2020,25/04/20,-59.05212;13.29436,
82e399,Perez Group Infirmary,CHC,105 beds,St. Joseph,03 Nov 2021,06-11-25,N/A,Needs upgrade
02929,Zhang PLC Polyclinic,Clinic🌡️,366Beds,St. Peter ,22-09-21,17/09/25,POINT(-58.98005 12.76213),-
NULL,Woods PLC (St.),Health Centre,221,St. Michael Parish,26/10/18,20210424,"-58.94109, 12.97646", 
NULL,Woods PLC (St.),Health Centre,221,St. Michael Parish,26/10/18,20210424,"-58.94109, 12.97646", 
#2931,Pierce-and-Sons Hosp. (St)©,Clinic🌡️,N/A,St James,2023-12-25,2022-04-20,N/A,Needs upgrade
NULL,Sullivan Ltd,Clinic🌡️,383 capacity,St. Peter Parish,2024-04-16,2020-07-23,N/A,-
2933,"Hood, Arnold and Franklin Infirmary (nhoJ)",,178 cots,nhoJ .tS,February 17 2024,September 07 2025,"-58.92730, 13.03810",Reinspection due
18c3b6,Joseph and Sons Hospital (St.),Community Health Centre,unknown,St. George,2019-11-17,08-01-25,POINT(-58.80237 12.80298), 
2935,Leon Inc Polyclinic (st.),Clinic,256 cots,st. james,24/04/25,05-01-23,"-59.25695, 12.73423",Good
2936,"Nielsen, Smith and Guerrero (St.)",Polyclinic,unknown,St. Michael ,April 16 2018,February 26 2018,-59.22138;13.17431,Good
2936,"Nielsen, Smith and Guerrero (St.)",Polyclinic,unknown,ST. MICHAEL ,April 16 2018,February 26 2018,-59.22138;13.17431,Good
2937,Young Inc Clinic©,Community Health Ctr.,340 cots,christ church,08 Oct 2016,April 11 2025,"13.04695, -59.05166",Needs upgrade
2938,Smith-Smith Health Centre,Hospital,212 beds,St. Michael ,2023-09-05,February 25 2022,POINT(-59.18297 12.97250),-
HF-2939,Davis Inc Medical Center,Hospital,unknown,St Lucy,20190430,2022-11-09,POINT(-59.13397 12.89646),Needs upgrade
02940,Robinson-Murphy Infirmary,Health Centre,300Beds,St. Peter,03-05-24,12-06-19,POINT(-59.23767 12.73389),Good
02941,Taylor-Brooks Health Centre©,,,Christ Church,September 07 2020,March 26 2020,N/A,-
02941,Taylor-Brooks Health Centre©,,,Christ Church,September 07 2020,March 26 2020,N/A,-
02942,Moore-PLC Clinic,,66,st. joseph,08/09/22,2022-06-23,POINT(-58.92825 13.10670),-
02942,Moore-PLC Clin.,,66,st. joseph,08/09/22,2022-06-23,POINT(-58.92825 13.10670),-
NULL,"Jones, Burgess and Maynard Health Centre",Community Health Ctr.,387,St.Michael,2016-03-15,2025-06-28,12°48′50″N 59°3′30″W,Follow-up 2023
9303d3,Taylor-Black (st.),Health Centre,unknown,st. andrew,23-06-24,19 Mar 2018,13°15′28″N 58°46′39″W,Reinspection due
,Summers Inc💊,Polyclinic 🏥,unknown,leahciM .tS,31 Aug 2021,25-09-23,"-59.00565, 12.91012",Needs upgrade
HF-2946,Smith LLC Hospital (St.),Clinic,329 bed,St. Peter,06 Nov 2023,04 Feb 2019,-58.86579;13.17833, 
HF-2947,Crane-Dougherty Infirmary,,unknown,St Joseph,December 03 2017,September 01 2019,N/A,♥
HF-2947,Crane-Dougherty Infirmary,,unknown,St Joseph,December 03 2017,September 01 2019,N/A,♥
,Garcia-LLC Polyclinic,Clinic🌡️,496Beds,ST. GEORGE,2019-12-25,2025-01-14,-58.77221;12.86073, 
HF-2949,Bailey LLC Hosp. (St.),Health Centre,406 bed,St. George ,12/01/17,20180307,POINT(-58.76584 12.84951),Follow-up 2023
NULL,Morton and Sons Clinic,Hosp.,476 bed,St. George,26/05/23,20251202,-58.72605;13.06966,Follow-up 2023
HF-2951,Gilmore and Sons (St.),Health Centre,225 cots,St. Joseph,2025-08-20,2019-03-31,13°11′35″N 58°47′37″W,Good
NULL,Andersen Inc,Health Ctr.,80 patients,St.Joseph,08-11-17,04-08-19,POINT(-59.26325 13.18199),Needs upgrade
NULL,"Cruz, Diaz and Ramsey Medical Center",Polyclinic 🏥,unknown,St. Michael Parish,12 May 2019,20191129,-59.26516;12.83721,-
NULL,"Cruz, Diaz and Ramsey Medical Center",Polyclinic 🏥,unknown,ST. MICHAEL PARISH,12 May 2019,20191129,-59.26516;12.83721,-
06df47,Mason-Harmon,,,St.Lucy,26-06-17,21-08-18,N/A, 
06df47,Mason-Harmon,,,ST.LUCY,26-06-17,21-08-18,N/A, 
699996,Lawson-Sanchez Polyclinic (st.),CHC,412 cots,st. andrew,29/03/20,01-05-24,"12.72434, -58.83161",
699996,Lawson-Sanchez Polyclinic (st.),CHC,412 cots,st. andrew,29/03/20,01-05-24,"12.72434, -58.83161",
HF-2956,"Berger, Gonzalez and Spencer (st.)",Polyclinic,348Beds,st. joseph,25 Oct 2016,November 21 2019,"-59.06224, 13.09490",Follow-up 2023
,Camacho-King (st.),Health Ctr.,237,st. joseph,October 15 2020,2025-09-08,N/A,Reinspection due
,Perez-Lee 🏥,,,werdnA .tS,15/01/17,27-01-25,"-59.14713, 12.93266",
2959,Carr-Castaneda Polyclinic,CHC,100 patients,ST. GEORGE,04/01/17,04/11/18,"13.09731, -59.18341",♥
2960,Wilson PLC 🏥 (hpesoJ),Clinic🌡️,340 patients,hpesoJ .tS,21 Nov 2018,20250805,13°4′18″N 58°42′35″W,Reinspection due
2960,Wilson PLC 🏥 (hpesoJ),Clinic🌡️,340 patients,HPESOJ .TS,21 Nov 2018,20250805,13°4′18″N 58°42′35″W,Reinspection due
02961,Bryan-Rush Hospital,Hosp.,179 bed,ST. GEORGE,11/11/18,2019-02-07,POINT(-58.95234 13.00996),Reinspection due
02961,Bryan-Rush Hospital,Hosp.,179 bed,ST. GEORGE,11/11/18,2019-02-07,POINT(-58.95234 13.00996),Reinspection due
2962,"Vazquez, Ellis and Wallace Polyclinic",,164 cots,St.Peter,19-05-17,2024-10-29,"-59.06895, 13.05546",
02963,Dixon-Ltd Polyclinic,Hospital,270 bed,ST. GEORGE,13 Oct 2016,April 23 2023,N/A,Good
HF-2964,"Manning, Gomez and Browning Polyclinic (st.)💊",Hosp.,460 bed,st. john,June 17 2022,28-07-24,N/A, 
2965,"Maldonado,-Moore-and-Le Polyclinic (St.George)",Clinic,168 patients,St.George,25/11/20,03-10-20,-58.86633;13.04175,Needs upgrade
NULL,Flores-Terrell Clinic,Hosp.,26 cots,reteP .tS,April 19 2021,10/03/24,"-58.98613, 13.19955", 
7c5fd9,Clark-Peterson Infirmary,Polyclinic,187,St. Peter,2016-02-29,05/08/22,-59.29277;13.25152,
7c5fd9,Clark-Peterson Infirmary,Polyclinic,187,St. Peter,2016-02-29,05/08/22,-59.29277;13.25152,
,"Blackwell, Guzman and Cooper Polyclinic",Hosp.,ten beds,ST. JAMES,06 Apr 2019,11/03/20,13°8′34″N 58°54′33″W,
HF-2969,Briggs Ltd Health Centre (St.),CHC,476 patients,St. Lucy Parish,20230525,07 Jul 2018,N/A,-
#2970,"Gonzalez PLC Hospital
NewLine",Health Centre,ten beds,St. Michael,32/13/99,2021-07-21,"13.15893, -58.71141",-
2971,Owens-Moore Polyclinic (St.),Hospital,404 cots,St. Lucy Parish,20180405,03-08-24,13°3′32″N 58°56′13″W,Follow-up 2023
#2972,"Gonzalez, Holloway and Kidd Polyclinic",,379 cots,ST. MICHAEL,20211020,07/12/23,-58.82083;13.23883,Reinspection due
,Smith-Davis Clinic,Clinic🌡️,367 beds,ST. MICHAEL,20201109,01/05/21,13°13′11″N 59°4′1″W,Follow-up 2023
NULL,Thomas-Love,CHC,,St.Peter,20180726,July 02 2018,-59.07532;13.24342,
,"Brown,-Mclaughlin-and-Morton",Polyclinic,unknown,hcruhC tsirhC,2020-03-21,04-08-21,N/A,-
02976,Patel-Dean Infirmary,,159,St. Lucy,2018-07-28,20230210,13°11′45″N 59°16′36″W,Needs upgrade
,"Hampton, Gates and Castillo Hospital",Community Health Ctr.,N/A,St. James Parish,20211027,19 Jul 2018,13°9′15″N 59°8′2″W,Good
,"Hampton, Gates and Castillo Hosp.",Community Health Ctr.,N/A,St. James Parish,20211027,19 Jul 2018,13°9′15″N 59°8′2″W,Good
HF-2978,Williams and Sons Health Centre,,32 cots,St Michael,2018-03-12,26-03-24,13°3′3″N 58°47′48″W,Follow-up 2023
HF-2978,Williams and Sons Health Centre,,32 cots,St Michael,2018-03-12,26-03-24,13°3′3″N 58°47′48″W,Follow-up 2023
NULL,Zhang-Ltd Hosp.,Community Health Ctr.,475 capacity,st. john,April 25 2016,10 Jul 2024,12°52′40″N 59°12′46″W,Good
de3eb0,Brown-Case,Hospital,465 beds,St. Peter,20160625,22-05-23,"-59.28159, 13.07612",Good
,Hunt LLC Polyclinic (St.George),Community Health Centre,382 cots,St.George,27 Dec 2020,29-07-23,-59.06252;13.03789,
,Hunt LLC Polyclinic (St.George),Community Health Centre,382 cots,St.George,27 Dec 2020,29-07-23,-59.06252;13.03789,
332518,"Conrad,-Evans-and-Rodriguez",Polyclinic 🏥,308 beds,st. lucy,2022-10-09,2021-02-01,-58.92971;13.07071,Good
NULL,Black-Anderson Health Centre,Hosp.,331Beds,St. Peter,20191002,September 07 2025,12°54′8″N 59°3′18″W,♥
02984,Smith-Ryan Hosp.,Hosp.,ten beds,St.Joseph,2021-10-08,20/10/21,POINT(-58.71849 12.82737),
02984,Smith-Ryan Hosp.,Hosp.,ten,ST.JOSEPH,2021-10-08,20/10/21,POINT(-58.71849 12.82737),
HF-2985,Carpenter and Sons Health Centre,CHC,463,St. Joseph ,30/03/17,21-10-23,13°4′28″N 59°11′41″W,Needs upgrade
,Wilson Group,Polyclinic,82 capacity,ST. JOHN,20250126,32/13/99,12°42′40″N 58°57′52″W,
#2987,Berger-Mitchell Hospital,Clinic🌡️,ten beds,Christ Church,23 Apr 2019,2019-03-24,POINT(-58.75707 12.74833),
#2987,Berger-Mitchell Hospital,Clinic🌡️,ten beds,Christ Church,23 Apr 2019,2019-03-24,POINT(-58.75707 12.74833),
,Vang-Thomas 🏥,Clinic🌡️,unknown,ST. ANDREW,20180613,04-09-25,-59.18471;13.00094,Reinspection due
2989,Wood-LLC Health Centre (St.),CHC,293 capacity,St. John Parish,01-11-25,20-03-21,"-58.88757, 13.26147",
2989,Wood-LLC Health Centre (St.),CHC,293 capacity,St. John Parish,01-11-25,20-03-21,"-58.88757, 13.26147",
HF-2990,Gray and Sons Hosp.,Hospital,ten beds,st. michael,20230510,23/09/19,"-59.28230, 13.14186",-
2991,"Green, Austin and Franklin Infirmary (st.)",Community Health Ctr.,,st. peter,2023-09-10,03/06/22,13°5′31″N 59°7′50″W,♥
720bb1,Burns-Group Polyclinic,CHC,496,Christ Church,12/08/22,26 Nov 2020,N/A,-
2993,Pitts-Salazar Medical Center (St.),Clinic,375 patients,St. Andrew,2023-08-06,2023-08-01,13°8′35″N 59°8′51″W,Follow-up 2023
02994,"Ward, Thompson and Richmond 🏥",Polyclinic,331Beds,St. Peter Parish,02/11/23,18/09/21,13°13′43″N 59°8′22″W,
,Miller LLC Health Centre (ycuL),,N/A,ycuL .tS,06-01-22,19 May 2023,-58.84415;12.94096,Good
HF-2996,Wells-Thompson Polyclinic✨,Hosp.,unknown,St Lucy,20/01/24,20180820,"-58.89961, 13.29338",-
NULL,"Curtis, Massey and Taylor (st.)",,ten beds,st. james,20200314,29/07/23,N/A,-
,Nguyen PLC Hospital (St),Hosp.,193 capacity,St John,2024-05-23,May 11 2024,13°12′7″N 59°8′54″W,
1ed00d,Richardson Ltd Medical Center,Polyclinic,293 beds,St Andrew,2024-07-19,10/03/22,"12.95654, -59.16685",Needs upgrade
HF-3000,Perez-Jones Hosp. (CHRIST),Hosp.,26Beds,CHRIST CHURCH,15/10/24,May 05 2020,POINT(-59.23415 13.26465), 
HF-3000,Perez-Jones Hosp. (CHRIST),Hosp.,26Beds,CHRIST CHURCH,15/10/24,May 05 2020,POINT(-59.23415 13.26465), 
HF-3001,Fitzgerald-Molina Health Centre,,212Beds,st. james,March 29 2019,15-11-22,POINT(-58.87486 13.09436),Follow-up 2023
f55df2,Collins-Group Polyclinic,Polyclinic,420 beds,Christ Church,20180727,05 Mar 2024,-58.76743;12.72217,Reinspection due
NULL,Allen-Jones Health Centre,CHC,ten beds,St Joseph,June 07 2025,20200428,N/A,Reinspection due
cca23b,Green-Arnold (ST.),Health Centre,ten beds,ST. JAMES,30 Apr 2019,December 23 2022,"-59.28745, 12.89021", 
03005,Edwards-Velazquez,Polyclinic,unknown,St. Joseph,June 11 2022,03-07-19,"-59.00619, 12.96286",Reinspection due
03006,Kramer LLC 🏥 (ST.),Polyclinic 🏥,unknown,ST. GEORGE,17 Feb 2016,01-06-21,"-58.81344, 12.87874",Good
HF-3007,Young-Hayes Health Centre (St.),Polyclinic,425 bed,St. Andrew Parish,10 Aug 2023,01/10/25,POINT(-58.89726 13.12131),Follow-up 2023
NULL,Parker PLC Clinic,Hospital,230 cots,St.Michael,17/11/18,August 28 2019,POINT(-59.28808 13.18056),Follow-up 2023
#3009,Jones-Vang Hosp.©,Hosp.,174 cots,St. James Parish,18-11-17,2018-10-30,"12.78184, -58.96843",
03010,Jenkins Inc 🏥,,198 bed,Christ Church,07/10/20,26-09-19,POINT(-59.00021 13.08433),Follow-up 2023
3011,Herman-Young (egroeG),CHC,114 beds,egroeG .tS,August 06 2017,26/07/18,POINT(-59.09039 12.92763),Follow-up 2023
#3012,Fox LLC Clinic,CHC,unknown,ST. PETER,June 21 2020,08 Nov 2023,-58.88055;12.77595,Follow-up 2023
NULL,"Alvarez, Lee and Lane (St)",,132 cots,St Lucy,May 14 2020,20/12/19,"-58.74806, 13.11815",
3014,Grant-Sullivan Health Centre (St.Andrew)©,,unknown,St.Andrew,22-12-19,02-08-24,"12.89684, -58.80054",-
a40792,Fleming-LLC Hosp. (reteP)💊,CHC,116,reteP .tS,02 Apr 2019,28-10-25,POINT(-58.97779 13.06798),♥
HF-3016,"Jones, Watson and Gonzalez Infirmary",Clinic,355 bed,leahciM .tS,25 Jun 2018,16-11-24,N/A,Follow-up 2023
HF-3016,"Jones, Watson and Gonzalez Infirmary",Clinic,355 bed,leahciM .tS,25 Jun 2018,16-11-24,N/A,Follow-up 2023
#3017,Floyd-Smith 🏥,Polyclinic 🏥,,St. Peter ,04 Jul 2020,13/02/24,"-59.16850, 13.09364",♥
#3017,Floyd-Smith 🏥,Polyclinic 🏥,,St. Peter ,04 Jul 2020,13/02/24,"-59.16850, 13.09364",♥
HF-3018,"Wright, Rivera and Cardenas Clinic",,,st. joseph,24-09-21,20220321,13°9′45″N 58°51′53″W,Follow-up 2023
HF-3018,"Wright, Rivera and Cardenas Clin.",,,ST. JOSEPH,24-09-21,20220321,13°9′45″N 58°51′53″W,Follow-up 2023
HF-3019,Duffy Ltd Infirmary (St.),Health Centre,N/A,St. Lucy Parish,2022-08-21,23 Aug 2025,"-59.13459, 13.15931",Reinspection due
HF-3019,Duffy Ltd Infirmary (St.),Health Centre,N/A,St. Lucy Parish,2022-08-21,23 Aug 2025,"-59.13459, 13.15931",Reinspection due
a71f2c,Moss-Cobb Polyclinic (St.),Community Health Ctr.,406 cots,St. Peter ,29/08/23,2019-05-07,"13.01586, -59.22679",-
3021,Boyer-Adams Health Centre✨,Clinic🌡️,N/A,werdnA .tS,26 Jul 2022,December 01 2022,"-58.82876, 12.77015",-
,Palmer Inc Infirmary,Health Ctr.,214 beds,st. joseph,04 Jun 2019,17 May 2021,"-59.14150, 13.29403",♥
e6da85,Brown-Ramirez 🏥,,474 capacity,St. Andrew,2018-05-12,20201005,POINT(-58.82744 12.81384),Needs upgrade
03024,Hayes-Henderson✨,Health Centre,57 cots,St. Lucy,07/07/19,03-06-25,N/A,-
NULL,"Murphy, Sanchez and Combs Infirmary",Clinic,230,nhoJ .tS,01 Jan 2022,14-09-23,-59.26427;13.00321,
NULL,"Murphy, Sanchez and Combs Infirmary",Clinic,230,nhoJ .tS,01 Jan 2022,14-09-23,-59.26427;13.00321,
NULL,Davis-Shepherd Hospital,Community Health Ctr.,471Beds,St. Peter Parish,23 Jun 2025,17/08/19,POINT(-58.72835 12.87904),Good
,Porter LLC Hosp. (St.John),Health Centre,118 capacity,St.John,02/12/17,2021-02-01,"-59.08573, 12.83236",
71e62a,Kane-and-Sons (St.),Clinic🌡️,ten beds,St. Michael Parish,2023-01-03,August 15 2025,POINT(-58.85512 13.23959),♥
03029,Davis LLC Hosp.,Community Health Centre,N/A,hpesoJ .tS,September 08 2019,30/01/18,-59.25011;13.17463,Good
NULL,Zimmerman-Hart Hospital,Polyclinic,257Beds,St John,09/01/25,03/08/21,N/A,
NULL,Lewis-Patel Clinic,Community Health Centre,136 cots,ST. JOHN,20230916,24-10-20,N/A, 
,Ford Group Medical Center,Community Health Ctr.,302,St Peter,06 Aug 2019,2018-04-19,"13.15118, -58.83178", 
HF-3033,Roberts-Bryant (St.),,387Beds,St. Andrew Parish,12-05-21,12/03/19,N/A,Needs upgrade
HF-3034,Obrien-Armstrong Clinic,,477 capacity,st. peter,14/04/18,20250716,-58.97269;12.87024,
HF-3035,Cole-LLC Infirmary (st.),Hosp.,218 capacity,st. george,20191108,2021-05-21,12°58′14″N 58°44′26″W,Follow-up 2023
6cecd8,"Wright,-Hernandez-and-Conner Clinic (St.)",Health Centre,64Beds,St. John,2025-05-24,2020-03-08,12°50′41″N 58°44′47″W,
HF-3037,"Anthony, Castillo and James Infirmary (St)",,,St Joseph,21/02/25,11-10-25,N/A,Follow-up 2023
HF-3037,"Anthony, Castillo and James Infirmary (St)",,,St Joseph,21/02/25,11-10-25,N/A,Follow-up 2023
HF-3038,Carpenter Ltd Hospital (ChristChurch),CHC,463 beds,ChristChurch,2023-07-02,09-07-23,"12.81909, -59.01991",Good
NULL,Jones-Irwin Hospital✨,Hosp.,271 beds,St. James Parish,January 18 2023,2021-09-16,"-58.72047, 13.21900",Reinspection due
03040,Fuentes-Lee✨,Polyclinic 🏥,308 bed,st. james,07 Jan 2018,July 24 2022,POINT(-58.80349 13.03784),Needs upgrade
,Barber LLC Polyclinic,Health Ctr.,257 beds,St.Joseph,04/03/21,26 Feb 2021,"13.10158, -59.00301",
HF-3042,Stein Ltd Infirmary,Clinic,291 beds,St Michael,16 Mar 2024,20190515,"12.94160, -59.24841",Good
#3043,Trujillo-Combs Infirmary (St.),Clinic🌡️,,St. George ,20240820,22 May 2024,"-59.03221, 12.98926",-
b255c8,Mcguire-Moore Hospital (St.Michael),Clinic,151 capacity,St.Michael,21/05/16,2019-08-11,"12.90165, -59.14032",Reinspection due
03045,Frey-LLC Infirmary,Polyclinic,114 capacity,St. James ,05-08-24,19/05/19,13°7′23″N 58°45′19″W,-
HF-3046,Garcia-Inc Clinic (nhoJ),Community Health Centre,N/A,nhoJ .tS,11 Aug 2025,20240531,POINT(-58.90728 12.87669),
#3047,Miller LLC 🏥 (St.),,,St. Lucy ,2022-06-04,April 11 2022,"13.08971, -58.96809",Follow-up 2023
28ddff,Bauer and Sons Polyclinic,Clinic,ten beds,St. Lucy ,31-10-18,03-03-24,"-58.76762, 13.13174",Needs upgrade
03049,Fernandez PLC,Health Ctr.,270 capacity,St. Peter,2025-09-12,09/12/20,12°43′21″N 59°1′26″W, 
NULL,"Walker, Hall and Murphy",Polyclinic,425 capacity,St. Peter ,2021-01-20,20240327,POINT(-58.98961 13.09575),Good
NULL,"Walker, Hall and Murphy",Polyclinic,425 capacity,ST. PETER ,2021-01-20,20240327,POINT(-58.98961 13.09575),Good
3051,Davis-Anderson Polyclinic,CHC,303 beds,Christ Church,27 Aug 2019,27/10/23,-59.12454;13.28725,Good
3051,Davis-Anderson Polyclinic,CHC,303,Christ Church,27 Aug 2019,27/10/23,-59.12454;13.28725,Good
HF-3052,"Kim, Brown and Underwood (St.)",Hospital,,St. Michael Parish,18-09-18,2020-01-17,13°7′19″N 59°5′55″W,Needs upgrade
HF-3052,"Kim, Brown and Underwood (St.)",Hospital,,St. Michael Parish,18-09-18,2020-01-17,13°7′19″N 59°5′55″W,Needs upgrade
c7229f,Hernandez-Farmer Hospital (ST.),Health Centre,9 beds,ST. MICHAEL,21 Sep 2022,March 31 2020,N/A,Needs upgrade
#3054,Brown-Peck Infirmary,,ten beds,St.Lucy,20160122,07/01/18,POINT(-58.87592 12.96897), 
#3054,Brown-Peck Infirmary,,ten beds,ST.LUCY,20160122,07/01/18,POINT(-58.87592 12.96897), 
,"Peterson,-Smith-and-Downs 🏥 (St.)",Clinic🌡️,393 capacity,St. Lucy,28-01-19,10 Mar 2022,13°10′12″N 59°10′7″W,Good
,"Peterson,-Smith-and-Downs 🏥 (St.)",Clinic🌡️,393 capacity,St. Lucy,28-01-19,10 Mar 2022,13°10′12″N 59°10′7″W,Good
16a2c3,"Reynolds, Hanson and Hernandez Health Centre (ST.)💊",Polyclinic 🏥,ten beds,ST. JOHN,03-07-20,28-11-25,POINT(-59.20441 13.15031),Needs upgrade
16a2c3,"Reynolds, Hanson and Hernandez Health Centre (ST.)💊",Polyclinic 🏥,ten,ST. JOHN,03-07-20,28-11-25,POINT(-59.20441 13.15031),Needs upgrade
,"Keller, Brown and Harris Hosp. (st.)",Community Health Centre,482 beds,st. lucy,22 Jun 2023,09/10/25,POINT(-59.28236 12.99211),Needs upgrade
,Thompson Ltd Infirmary,Polyclinic 🏥,168 capacity,St. James Parish,22/06/25,16/06/25,POINT(-58.95437 13.23013),
769253,"Johnson, Reyes and Stewart 🏥",Hosp.,unknown,St. Lucy,20190129,2024-03-12,"13.26323, -58.82865",-
769253,"Johnson, Reyes and Stewart 🏥",Hosp.,unknown,St. Lucy,20190129,2024-03-12,"13.26323, -58.82865",-
b3330d,Smith-Arnold,Hosp.,86 cots,ST. JOHN,October 04 2019,20190724,POINT(-59.20453 12.79616),-
3061,Allen PLC,Health Centre,119 capacity,CHRIST CHURCH,11/05/21,19-06-25,13°0′19″N 59°14′34″W,♥
3061,Allen PLC,Health Centre,119 capacity,CHRIST CHURCH,11/05/21,19-06-25,13°0′19″N 59°14′34″W,♥
03062,Morton-Humphrey Hospital,Community Health Ctr.,491 cots,St.George,2018-10-29,09 Dec 2020,13°15′30″N 58°56′0″W,
NULL,Elliott-Carey Health Centre,Hospital,106 beds,ST. PETER,29 Aug 2020,20200712,13°12′24″N 59°17′18″W, 
0135a8,Mitchell Group Polyclinic,Community Health Centre,,St.John,May 01 2017,20191106,N/A,Follow-up 2023
0135a8,Mitchell Group Polyclinic,Community Health Centre,,St.John,May 01 2017,20191106,N/A,Follow-up 2023
NULL,Rivera-Richardson Infirmary (st.),Clinic🌡️,403 cots,st. joseph,15/07/16,July 09 2018,13°16′12″N 58°58′5″W,Follow-up 2023
,"Hancock, Hernandez and Hernandez Hosp. (st.)",Clinic,unknown,st. peter,2022-07-09,October 20 2024,POINT(-58.98955 12.70680),-
03067,"Griffin, Hale and Cruz Health Centre (St.Peter)",Clinic🌡️,9 patients,St.Peter,26/06/25,18 May 2025,"13.08548, -58.84504",Follow-up 2023
4c0d2d,"Fuentes, Adams and Parrish Infirmary (St.)",Clinic,19 bed,St. Joseph ,September 26 2017,25 Dec 2022,-59.23637;13.25197,
#3069,Gill-Morse Clinic (st.),Hospital,270 beds,st. peter,December 29 2016,22-01-22,N/A,Follow-up 2023
#3069,Gill-Morse Clinic (st.),Hospital,270,ST. PETER,December 29 2016,22-01-22,N/A,Follow-up 2023
705e75,Johnson Ltd Infirmary,Polyclinic 🏥,60Beds,Christ Church,20170808,January 03 2023,"13.20073, -59.25953",Reinspection due
,Bailey LLC Hospital (St.),Community Health Centre,ten beds,St. George ,06/08/22,March 31 2020,N/A,Needs upgrade
NULL,Davis-Wright,Health Ctr.,N/A,ST. PETER,04 Sep 2016,22 Mar 2021,-58.86506;12.92517,Good
#3073,Drake and Sons Hospital,,N/A,St. Joseph Parish,2018-06-13,08 Oct 2021,12°58′54″N 59°14′37″W,-
3073,Drake and Sons Hosp.,,N/A,ST. JOSEPH PARISH,2018-06-13,08 Oct 2021,12°58′54″N 59°14′37″W,-
NULL,"Allison, Bolton and Hubbard Medical Center",Health Centre,229Beds,leahciM .tS,20250131,26/11/24,13°17′52″N 58°51′51″W,Reinspection due
HF-3075,"Thompson, Williams and Miller Medical Center (semaJ)",Clinic,352 patients,semaJ .tS,20230625,2018-12-04,N/A,Reinspection due
,Mcguire and Sons Hospital (St.Andrew),Health Centre,25,St.Andrew,20240512,03/04/23,12°53′28″N 59°10′18″W,♥
HF-3077,"Keith, Lewis and Swanson Medical Center",Polyclinic 🏥,,St.James,January 03 2021,September 17 2024,"-59.11447, 13.23421",
HF-3078,"Huber, Johnston and Mcconnell Medical Center",Polyclinic 🏥,392 capacity,St.Peter,August 04 2022,27/10/22,"-58.85356, 12.75151",-
fac2c3,"Ortiz, Garrison and Warren Health Centre (St.)",Polyclinic 🏥,,St. Michael Parish,19 Apr 2018,March 27 2019,N/A,♥
fac2c3,"Ortiz, Garrison and Warren Health Centre (St.)",Polyclinic 🏥,,St. Michael Parish,19 Apr 2018,March 27 2019,N/A,♥
NULL,Hughes-Luna Hosp.,,158 capacity,St. Joseph Parish,03/10/19,September 07 2022,"12.70292, -58.85132",Good
03081,Chase-Nguyen,,99Beds,St. Joseph ,26 Apr 2017,2022-05-22,POINT(-59.28549 12.85623),-
NULL,Escobar-Jackson✨,Community Health Centre,419 cots,St John,23-04-16,19 May 2024,-58.76088;13.11932,
HF-3083,Tran and Sons Hospital (nhoJ),Polyclinic 🏥,N/A,nhoJ .tS,10/03/23,April 23 2019,-58.97952;13.00698, 
NULL,"Greer, Powers and Mccarthy",Community Health Ctr.,182 beds,St. Lucy Parish,2016-11-22,2022-10-25,N/A,Good
NULL,"Greer, Powers and Mccarthy",Community Health Ctr.,182 beds,St. Lucy Parish,2016-11-22,2022-10-25,N/A,Good
#3085,Harrington and Sons Hospital (reteP),Hosp.,ten beds,reteP .tS,March 12 2022,20210124,"13.18051, -59.15547",
3086,"Butler,-Dillon-and-Mcdaniel Infirmary (st.)",Clinic🌡️,ten beds,st. lucy,2025-05-19,17 Jan 2023,"-58.80368, 13.06037",Good
03087,Mejia-Stewart,,366 bed,ST. JOHN,10 Jan 2020,06 May 2024,N/A,-
03087,Mejia-Stewart,,366 bed,ST. JOHN,10 Jan 2020,06 May 2024,N/A,-
a82d17,Jackson-Mahoney Clinic (CHRIST),Clinic,360 patients,CHRIST CHURCH,24 Aug 2022,12 Jun 2020,POINT(-58.93097 12.92039),Needs upgrade
a82d17,Jackson-Mahoney Clin. (CHRIST),Clinic,360 patients,CHRIST CHURCH,24 Aug 2022,12 Jun 2020,POINT(-58.93097 12.92039),Needs upgrade
03089,"Long, Johnson and Day (St)💊",Health Ctr.,92Beds,St Andrew,January 07 2022,2023-02-11,POINT(-58.75852 12.89418),Reinspection due
03090,Pacheco-Campbell Clinic,,N/A,ST. PETER,2017-08-07,20241221,-58.84158;12.74942,♥
03090,Pacheco-Campbell Clinic,,N/A,ST. PETER,2017-08-07,20241221,-58.84158;12.74942,♥
03091,Stevens Ltd Infirmary,Community Health Ctr.,unknown,St George,28 Mar 2022,2019-03-11,-58.85673;12.86674,Reinspection due
